model,variable,mistag,threshold,bin_low,bin_high,bin_center,n_signal,signal_efficiency
RealNVP Flow,Lxy_q90,0.01,26.506405487060256,242.7940185546875,299.9960021972656,271.39501037597654,11800,0.20228813559322034
RealNVP Flow,Lxy_max,0.01,26.506405487060256,0.10336698591709137,148.03963928222657,74.07150313407183,11800,0.12805084745762713
RealNVP Flow,Lxy_max,0.01,26.506405487060256,148.03963928222657,202.35804138183593,175.19884033203124,11800,0.15805084745762712
RealNVP Flow,Lxy_max,0.01,26.506405487060256,202.35804138183593,241.4113983154297,221.8847198486328,11800,0.1773728813559322
RealNVP Flow,Lxy_max,0.01,26.506405487060256,241.4113983154297,272.8161315917969,257.11376495361327,11800,0.1861864406779661
RealNVP Flow,Lxy_max,0.01,26.506405487060256,272.8161315917969,299.9999084472656,286.40802001953125,11800,0.19338983050847458
RealNVP Flow,Lxy_prod_median,0.01,26.506405487060256,0.6732196807861328,0.6999125480651855,0.6865661144256592,11799,0.17450631409441478
RealNVP Flow,Lxy_prod_median,0.01,26.506405487060256,0.6999125480651855,0.7049158215522766,0.7024141848087311,11800,0.1666949152542373
RealNVP Flow,Lxy_prod_median,0.01,26.506405487060256,0.7049158215522766,0.709228789806366,0.7070723056793213,11801,0.16998559444114905
RealNVP Flow,Lxy_prod_median,0.01,26.506405487060256,0.709228789806366,0.7142664194107056,0.7117476046085358,11799,0.16874311382320537
RealNVP Flow,Lxy_prod_median,0.01,26.506405487060256,0.7142664194107056,0.7398232817649841,0.7270448505878448,11801,0.16312176934158124
RealNVP Flow,Lxy_prod_q90,0.01,26.506405487060256,0.6732196807861328,0.6999125480651855,0.6865661144256592,11799,0.17450631409441478
RealNVP Flow,Lxy_prod_q90,0.01,26.506405487060256,0.6999125480651855,0.7049158215522766,0.7024141848087311,11800,0.1666949152542373
RealNVP Flow,Lxy_prod_q90,0.01,26.506405487060256,0.7049158215522766,0.709228789806366,0.7070723056793213,11801,0.16998559444114905
RealNVP Flow,Lxy_prod_q90,0.01,26.506405487060256,0.709228789806366,0.7142664194107056,0.7117476046085358,11799,0.16874311382320537
RealNVP Flow,Lxy_prod_q90,0.01,26.506405487060256,0.7142664194107056,0.7398232817649841,0.7270448505878448,11801,0.16312176934158124
RealNVP Flow,n_truth_dark_pions,0.01,26.506405487060256,0.0,3.0,1.5,10501,0.13170174269117227
RealNVP Flow,n_truth_dark_pions,0.01,26.506405487060256,3.0,4.0,3.5,10297,0.14042925123822472
RealNVP Flow,n_truth_dark_pions,0.01,26.506405487060256,4.0,5.0,4.5,10862,0.15669305836862457
RealNVP Flow,n_truth_dark_pions,0.01,26.506405487060256,5.0,6.0,5.5,9488,0.1703204047217538
RealNVP Flow,n_truth_dark_pions,0.01,26.506405487060256,6.0,19.0,12.5,18495,0.21027304676939712
Diffusion v2 z-all,Lxy_median,0.01,1.8033965742587987,0.10336698591709137,59.82302017211914,29.963193579018117,11800,0.17338983050847456
Diffusion v2 z-all,Lxy_median,0.01,1.8033965742587987,59.82302017211914,88.62312011718751,74.22307014465332,11800,0.20847457627118643
Diffusion v2 z-all,Lxy_median,0.01,1.8033965742587987,88.62312011718751,118.07174377441406,103.34743194580079,11800,0.23813559322033898
Diffusion v2 z-all,Lxy_median,0.01,1.8033965742587987,118.07174377441406,155.6561492919922,136.86394653320312,11800,0.268135593220339
Diffusion v2 z-all,Lxy_median,0.01,1.8033965742587987,155.6561492919922,299.9960021972656,227.8260757446289,11800,0.2928813559322034
Diffusion v2 z-all,Lxy_mean,0.01,1.8033965742587987,0.10336698591709137,79.47189178466797,39.78762938529253,11800,0.17440677966101695
Diffusion v2 z-all,Lxy_mean,0.01,1.8033965742587987,79.47189178466797,103.76051635742188,91.61620407104493,11800,0.2080508474576271
Diffusion v2 z-all,Lxy_mean,0.01,1.8033965742587987,103.76051635742188,125.28399810791016,114.52225723266602,11800,0.23516949152542374
Diffusion v2 z-all,Lxy_mean,0.01,1.8033965742587987,125.28399810791016,151.7426696777344,138.5133338928223,11800,0.26915254237288133
Diffusion v2 z-all,Lxy_mean,0.01,1.8033965742587987,151.7426696777344,299.9960021972656,225.8693359375,11800,0.29423728813559324
Diffusion v2 z-all,Lxy_q90,0.01,1.8033965742587987,0.10336698591709137,132.72213134765627,66.41274916678668,11800,0.18533898305084745
Diffusion v2 z-all,Lxy_q90,0.01,1.8033965742587987,132.72213134765627,178.08295593261718,155.40254364013674,11800,0.21923728813559323
Diffusion v2 z-all,Lxy_q90,0.01,1.8033965742587987,178.08295593261718,211.8356689453125,194.95931243896484,11800,0.23677966101694914
Diffusion v2 z-all,Lxy_q90,0.01,1.8033965742587987,211.8356689453125,242.7940185546875,227.31484375000002,11800,0.25898305084745765
Diffusion v2 z-all,Lxy_q90,0.01,1.8033965742587987,242.7940185546875,299.9960021972656,271.39501037597654,11800,0.28067796610169493
Diffusion v2 z-all,Lxy_max,0.01,1.8033965742587987,0.10336698591709137,148.03963928222657,74.07150313407183,11800,0.1895762711864407
Diffusion v2 z-all,Lxy_max,0.01,1.8033965742587987,148.03963928222657,202.35804138183593,175.19884033203124,11800,0.22050847457627118
Diffusion v2 z-all,Lxy_max,0.01,1.8033965742587987,202.35804138183593,241.4113983154297,221.8847198486328,11800,0.2443220338983051
Diffusion v2 z-all,Lxy_max,0.01,1.8033965742587987,241.4113983154297,272.8161315917969,257.11376495361327,11800,0.25940677966101694
Diffusion v2 z-all,Lxy_max,0.01,1.8033965742587987,272.8161315917969,299.9999084472656,286.40802001953125,11800,0.26720338983050845
Diffusion v2 z-all,Lxy_prod_median,0.01,1.8033965742587987,0.6732196807861328,0.6999125480651855,0.6865661144256592,11799,0.23959657598101533
Diffusion v2 z-all,Lxy_prod_median,0.01,1.8033965742587987,0.6999125480651855,0.7049158215522766,0.7024141848087311,11800,0.23059322033898305
Diffusion v2 z-all,Lxy_prod_median,0.01,1.8033965742587987,0.7049158215522766,0.709228789806366,0.7070723056793213,11801,0.23743750529616134
Diffusion v2 z-all,Lxy_prod_median,0.01,1.8033965742587987,0.709228789806366,0.7142664194107056,0.7117476046085358,11799,0.24035935248749893
Diffusion v2 z-all,Lxy_prod_median,0.01,1.8033965742587987,0.7142664194107056,0.7398232817649841,0.7270448505878448,11801,0.23303109905940175
Diffusion v2 z-all,Lxy_prod_q90,0.01,1.8033965742587987,0.6732196807861328,0.6999125480651855,0.6865661144256592,11799,0.23959657598101533
Diffusion v2 z-all,Lxy_prod_q90,0.01,1.8033965742587987,0.6999125480651855,0.7049158215522766,0.7024141848087311,11800,0.23059322033898305
Diffusion v2 z-all,Lxy_prod_q90,0.01,1.8033965742587987,0.7049158215522766,0.709228789806366,0.7070723056793213,11801,0.23743750529616134
Diffusion v2 z-all,Lxy_prod_q90,0.01,1.8033965742587987,0.709228789806366,0.7142664194107056,0.7117476046085358,11799,0.24035935248749893
Diffusion v2 z-all,Lxy_prod_q90,0.01,1.8033965742587987,0.7142664194107056,0.7398232817649841,0.7270448505878448,11801,0.23303109905940175
Diffusion v2 z-all,n_truth_dark_pions,0.01,1.8033965742587987,0.0,3.0,1.5,10501,0.2232168364917627
Diffusion v2 z-all,n_truth_dark_pions,0.01,1.8033965742587987,3.0,4.0,3.5,10297,0.2084102165679324
Diffusion v2 z-all,n_truth_dark_pions,0.01,1.8033965742587987,4.0,5.0,4.5,10862,0.21533787516111214
Diffusion v2 z-all,n_truth_dark_pions,0.01,1.8033965742587987,5.0,6.0,5.5,9488,0.22723440134907252
Diffusion v2 z-all,n_truth_dark_pions,0.01,1.8033965742587987,6.0,19.0,12.5,18495,0.27839956745066236
Stable RealNVP Flow,Lxy_median,0.01,88.67411842346174,0.10336698591709137,59.82302017211914,29.963193579018117,11800,0.11228813559322035
Stable RealNVP Flow,Lxy_median,0.01,88.67411842346174,59.82302017211914,88.62312011718751,74.22307014465332,11800,0.13991525423728812
Stable RealNVP Flow,Lxy_median,0.01,88.67411842346174,88.62312011718751,118.07174377441406,103.34743194580079,11800,0.15974576271186441
Stable RealNVP Flow,Lxy_median,0.01,88.67411842346174,118.07174377441406,155.6561492919922,136.86394653320312,11800,0.1793220338983051
Stable RealNVP Flow,Lxy_median,0.01,88.67411842346174,155.6561492919922,299.9960021972656,227.8260757446289,11800,0.19872881355932204
Stable RealNVP Flow,Lxy_mean,0.01,88.67411842346174,0.10336698591709137,79.47189178466797,39.78762938529253,11800,0.11711864406779661
Stable RealNVP Flow,Lxy_mean,0.01,88.67411842346174,79.47189178466797,103.76051635742188,91.61620407104493,11800,0.13322033898305086
Stable RealNVP Flow,Lxy_mean,0.01,88.67411842346174,103.76051635742188,125.28399810791016,114.52225723266602,11800,0.1535593220338983
Stable RealNVP Flow,Lxy_mean,0.01,88.67411842346174,125.28399810791016,151.7426696777344,138.5133338928223,11800,0.18372881355932202
Stable RealNVP Flow,Lxy_mean,0.01,88.67411842346174,151.7426696777344,299.9960021972656,225.8693359375,11800,0.2023728813559322
Stable RealNVP Flow,Lxy_q90,0.01,88.67411842346174,0.10336698591709137,132.72213134765627,66.41274916678668,11800,0.12745762711864406
Stable RealNVP Flow,Lxy_q90,0.01,88.67411842346174,132.72213134765627,178.08295593261718,155.40254364013674,11800,0.14440677966101695
Stable RealNVP Flow,Lxy_q90,0.01,88.67411842346174,178.08295593261718,211.8356689453125,194.95931243896484,11800,0.15305084745762712
Stable RealNVP Flow,Lxy_q90,0.01,88.67411842346174,211.8356689453125,242.7940185546875,227.31484375000002,11800,0.17635593220338983
Stable RealNVP Flow,Lxy_q90,0.01,88.67411842346174,242.7940185546875,299.9960021972656,271.39501037597654,11800,0.18872881355932203
Stable RealNVP Flow,Lxy_max,0.01,88.67411842346174,0.10336698591709137,148.03963928222657,74.07150313407183,11800,0.13161016949152543
Stable RealNVP Flow,Lxy_max,0.01,88.67411842346174,148.03963928222657,202.35804138183593,175.19884033203124,11800,0.14559322033898306
Stable RealNVP Flow,Lxy_max,0.01,88.67411842346174,202.35804138183593,241.4113983154297,221.8847198486328,11800,0.16008474576271187
Stable RealNVP Flow,Lxy_max,0.01,88.67411842346174,241.4113983154297,272.8161315917969,257.11376495361327,11800,0.17432203389830508
Stable RealNVP Flow,Lxy_max,0.01,88.67411842346174,272.8161315917969,299.9999084472656,286.40802001953125,11800,0.17838983050847457
Stable RealNVP Flow,Lxy_prod_median,0.01,88.67411842346174,0.6732196807861328,0.6999125480651855,0.6865661144256592,11799,0.16620052546826003
Stable RealNVP Flow,Lxy_prod_median,0.01,88.67411842346174,0.6999125480651855,0.7049158215522766,0.7024141848087311,11800,0.155
Stable RealNVP Flow,Lxy_prod_median,0.01,88.67411842346174,0.7049158215522766,0.709228789806366,0.7070723056793213,11801,0.15583425133463266
Stable RealNVP Flow,Lxy_prod_median,0.01,88.67411842346174,0.709228789806366,0.7142664194107056,0.7117476046085358,11799,0.15535214848715992
Stable RealNVP Flow,Lxy_prod_median,0.01,88.67411842346174,0.7142664194107056,0.7398232817649841,0.7270448505878448,11801,0.15761376154563173
Stable RealNVP Flow,Lxy_prod_q90,0.01,88.67411842346174,0.6732196807861328,0.6999125480651855,0.6865661144256592,11799,0.16620052546826003
Stable RealNVP Flow,Lxy_prod_q90,0.01,88.67411842346174,0.6999125480651855,0.7049158215522766,0.7024141848087311,11800,0.155
Stable RealNVP Flow,Lxy_prod_q90,0.01,88.67411842346174,0.7049158215522766,0.709228789806366,0.7070723056793213,11801,0.15583425133463266
Stable RealNVP Flow,Lxy_prod_q90,0.01,88.67411842346174,0.709228789806366,0.7142664194107056,0.7117476046085358,11799,0.15535214848715992
Stable RealNVP Flow,Lxy_prod_q90,0.01,88.67411842346174,0.7142664194107056,0.7398232817649841,0.7270448505878448,11801,0.15761376154563173
Stable RealNVP Flow,n_truth_dark_pions,0.01,88.67411842346174,0.0,3.0,1.5,10501,0.16331777925911817
Stable RealNVP Flow,n_truth_dark_pions,0.01,88.67411842346174,3.0,4.0,3.5,10297,0.14208021753908906
Stable RealNVP Flow,n_truth_dark_pions,0.01,88.67411842346174,4.0,5.0,4.5,10862,0.13864849935555146
Stable RealNVP Flow,n_truth_dark_pions,0.01,88.67411842346174,5.0,6.0,5.5,9488,0.14744940978077573
Stable RealNVP Flow,n_truth_dark_pions,0.01,88.67411842346174,6.0,19.0,12.5,18495,0.1838875371722087
Diffusion v2 z-mid-high,Lxy_median,0.01,2.1035176491737357,0.10336698591709137,59.82302017211914,29.963193579018117,11800,0.17296610169491525
